method,regime,T,p,noise,seed,precision,recall,f1,auc,mse
Ledoit-Wolf,stationary,80,6,0.5,1,0.27777777777777773,0.8333333333333335,0.41666666666666674,0.7083333333333331,0.024104736910429615
tv-gVAR,stationary,80,6,0.5,2,0.16872073892365988,0.5256410256410257,0.25430456638275806,0.46928418803418803,0.017549506623743737
stationary-gVAR,stationary,80,6,0.5,2,0.375,0.5,0.4285714285714286,0.6458333333333331,0.003108777945555467
Ledoit-Wolf,stationary,80,6,0.5,2,0.19230769230769232,0.8333333333333335,0.3125,0.3888888888888889,0.020976666308164606
tv-gVAR,stationary,80,6,0.5,3,0.19830197639963418,0.6538461538461539,0.30335884543703706,0.5675747863247863,0.02631720811085947
stationary-gVAR,stationary,80,6,0.5,3,0.5,0.8333333333333335,0.625,0.7777777777777778,0.00919797161739584
Ledoit-Wolf,stationary,80,6,0.5,3,0.20833333333333337,0.8333333333333335,0.33333333333333337,0.5555555555555555,0.026174814625021324
tv-gVAR,stationary,80,6,0.5,4,0.2673128982861114,0.8205128205128205,0.4026728943220697,0.6423611111111112,0.02955636003349355
stationary-gVAR,stationary,80,6,0.5,4,0.18181818181818182,0.33333333333333337,0.23529411764705885,0.6215277777777778,0.010691153137732638
Ledoit-Wolf,stationary,80,6,0.5,4,0.20833333333333337,0.8333333333333335,0.33333333333333337,0.6666666666666667,0.020241155260513313
tv-gVAR,stationary,80,10,0.3,0,0.18224764535319665,0.6,0.2778707630765773,0.6691346153846154,0.010791799541665807
stationary-gVAR,stationary,80,10,0.3,0,0.25,0.29999999999999993,0.27272727272727265,0.61625,0.0024934993692734705
Ledoit-Wolf,stationary,80,10,0.3,0,0.15151515151515155,1.0,0.2631578947368421,0.61625,0.018802646761801073
tv-gVAR,stationary,80,10,0.3,1,0.1422228565482935,0.44615384615384607,0.2148548254023716,0.5548557692307692,0.011601785911943238
stationary-gVAR,stationary,80,10,0.3,1,0.36363636363636365,0.4,0.3809523809523809,0.7262500000000002,0.0028876588386721317
Ledoit-Wolf,stationary,80,10,0.3,1,0.1290322580645161,0.8,0.22222222222222224,0.640625,0.017766524871218017
tv-gVAR,stationary,80,10,0.3,2,0.14167150759953148,0.4153846153846154,0.21024104356437795,0.5803365384615384,0.009458126296743958
stationary-gVAR,stationary,80,10,0.3,2,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.6249999999999999,0.0016107290956156384
Ledoit-Wolf,stationary,80,10,0.3,2,0.11764705882352942,0.8,0.20512820512820512,0.5906250000000001,0.013530612486977307
tv-gVAR,stationary,80,10,0.3,3,0.14718645614394602,0.46923076923076923,0.2221281546531496,0.5670192307692308,0.009972716944504604
stationary-gVAR,stationary,80,10,0.3,3,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.72,0.002058595030271521
Ledoit-Wolf,stationary,80,10,0.3,3,0.10344827586206896,0.5999999999999999,0.17647058823529413,0.6100000000000001,0.01343249989444419
tv-gVAR,stationary,80,10,0.3,4,0.18308263883391215,0.6230769230769232,0.282655656442913,0.6767788461538462,0.011368981831124001
stationary-gVAR,stationary,80,10,0.3,4,0.35714285714285715,0.5,0.41666666666666674,0.80625,0.002012694237361095
Ledoit-Wolf,stationary,80,10,0.3,4,0.1323529411764706,0.9,0.2307692307692308,0.5837500000000001,0.013466700343314068
tv-gVAR,stationary,80,10,0.5,0,0.14131320437545614,0.7692307692307693,0.23863188857780065,0.6749519230769232,0.024467869428373843
stationary-gVAR,stationary,80,10,0.5,0,0.14705882352941174,0.5,0.22727272727272724,0.5499999999999999,0.007511970772541534
Ledoit-Wolf,stationary,80,10,0.5,0,0.15151515151515155,1.0,0.2631578947368421,0.613125,0.018829090450750086
tv-gVAR,stationary,80,10,0.5,1,0.10852874026027991,0.6076923076923076,0.18396168574251265,0.5315865384615385,0.02572309478087707
stationary-gVAR,stationary,80,10,0.5,1,0.1875,0.5999999999999999,0.28571428571428564,0.7262500000000001,0.006662098825648788
Ledoit-Wolf,stationary,80,10,0.5,1,0.1290322580645161,0.8,0.22222222222222224,0.6375000000000001,0.01778965208847066
tv-gVAR,stationary,80,10,0.5,2,0.1260422972553734,0.6461538461538462,0.21029558747152033,0.57625,0.022769990246637353
stationary-gVAR,stationary,80,10,0.5,2,0.18181818181818182,0.5999999999999999,0.27906976744186046,0.6574999999999999,0.005076081962172294
Ledoit-Wolf,stationary,80,10,0.5,2,0.11764705882352942,0.8,0.20512820512820512,0.5912500000000002,0.013547802413559963
tv-gVAR,stationary,80,10,0.5,3,0.12786318538924535,0.7000000000000001,0.21614987014752243,0.5618269230769232,0.02334027848550555
stationary-gVAR,stationary,80,10,0.5,3,0.17647058823529413,0.5999999999999999,0.27272727272727265,0.6487499999999998,0.006461099734785602
Ledoit-Wolf,stationary,80,10,0.5,3,0.10344827586206896,0.5999999999999999,0.17647058823529413,0.6075,0.013450018300379342
tv-gVAR,stationary,80,10,0.5,4,0.14775437204579311,0.8153846153846155,0.25005285894820395,0.675625,0.024729384344917872
stationary-gVAR,stationary,80,10,0.5,4,0.18604651162790695,0.8,0.3018867924528302,0.7649999999999999,0.007071288998839672
Ledoit-Wolf,stationary,80,10,0.5,4,0.1323529411764706,0.9,0.2307692307692308,0.58875,0.013481591150349548
tv-gVAR,stationary,160,6,0.3,0,0.5060439560439559,0.6282051282051283,0.5441112306496922,0.7604166666666667,0.004890926664403296
stationary-gVAR,stationary,160,6,0.3,0,0.5999999999999999,0.5,0.5454545454545453,0.7847222222222222,0.0027668675905760626
Ledoit-Wolf,stationary,160,6,0.3,0,0.20833333333333337,0.8333333333333335,0.33333333333333337,0.673611111111111,0.020849630631909415
tv-gVAR,stationary,160,6,0.3,1,0.39297091797091793,0.6538461538461539,0.4842442499682319,0.751602564102564,0.00487904265670523
stationary-gVAR,stationary,160,6,0.3,1,1.0,0.6666666666666667,0.8,0.7986111111111108,0.0019281625318728283
Ledoit-Wolf,stationary,160,6,0.3,1,0.25,1.0,0.4,0.6493055555555555,0.024097568789660784
tv-gVAR,stationary,160,6,0.3,2,0.39899267399267396,0.4102564102564103,0.3975426283118591,0.6354166666666667,0.005043492296457757
stationary-gVAR,stationary,160,6,0.3,2,1.0,0.33333333333333337,0.5,0.7118055555555555,0.0034775880097979144
Ledoit-Wolf,stationary,160,6,0.3,2,0.2307692307692308,1.0,0.375,0.5416666666666669,0.030035631576864216
tv-gVAR,stationary,160,6,0.3,3,0.39499389499389503,0.47435897435897423,0.4273060273060273,0.6396901709401709,0.005690682142101006
stationary-gVAR,stationary,160,6,0.3,3,0.5,0.33333333333333337,0.4,0.7152777777777778,0.002951440134324999
Ledoit-Wolf,stationary,160,6,0.3,3,0.22727272727272724,0.8333333333333335,0.35714285714285715,0.6388888888888891,0.017501478215932485
tv-gVAR,stationary,160,6,0.3,4,0.3986263736263736,0.46153846153846156,0.41732348847733464,0.6741452991452992,0.007010198528364398
stationary-gVAR,stationary,160,6,0.3,4,0.6666666666666667,0.33333333333333337,0.4444444444444445,0.7152777777777778,0.004123950625234961
Ledoit-Wolf,stationary,160,6,0.3,4,0.22727272727272724,0.8333333333333335,0.35714285714285715,0.6666666666666667,0.02164871004249933
tv-gVAR,stationary,160,6,0.5,0,0.28579156514676873,0.7435897435897438,0.41123324933393585,0.7056623931623931,0.009468487615896184
stationary-gVAR,stationary,160,6,0.5,0,0.5555555555555555,0.8333333333333335,0.6666666666666667,0.923611111111111,0.0030083818371945113
Ledoit-Wolf,stationary,160,6,0.5,0,0.20833333333333337,0.8333333333333335,0.33333333333333337,0.6666666666666669,0.020870952762295367
tv-gVAR,stationary,160,6,0.5,1,0.2673837435952121,0.782051282051282,0.3964851064908729,0.7390491452991453,0.010379206154672879
stationary-gVAR,stationary,160,6,0.5,1,0.36363636363636365,0.6666666666666667,0.4705882352941177,0.8055555555555555,0.003533527774881669
Ledoit-Wolf,stationary,160,6,0.5,1,0.25,1.0,0.4,0.6597222222222222,0.02411954394357243
tv-gVAR,stationary,160,6,0.5,2,0.2506115553626866,0.5384615384615384,0.3402929312203777,0.6014957264957265,0.007179051912543923
stationary-gVAR,stationary,160,6,0.5,2,0.4285714285714286,0.5,0.4615384615384616,0.7152777777777777,0.0025728467415093376
Ledoit-Wolf,stationary,160,6,0.5,2,0.2307692307692308,1.0,0.375,0.5416666666666669,0.030069873275681128
tv-gVAR,stationary,160,6,0.5,3,0.24707429322813937,0.5897435897435896,0.34771544245228453,0.626602564102564,0.010456456364250013
stationary-gVAR,stationary,160,6,0.5,3,0.36363636363636365,0.6666666666666667,0.4705882352941177,0.7743055555555555,0.0024188795455671974
Ledoit-Wolf,stationary,160,6,0.5,3,0.22727272727272724,0.8333333333333335,0.35714285714285715,0.6423611111111109,0.017519950347597655
tv-gVAR,stationary,160,6,0.5,4,0.2784765071529777,0.6794871794871794,0.39180109461439383,0.6690705128205129,0.011697497523767777
stationary-gVAR,stationary,160,6,0.5,4,0.25,0.33333333333333337,0.28571428571428564,0.7083333333333333,0.0055099605517486385
Ledoit-Wolf,stationary,160,6,0.5,4,0.22727272727272724,0.8333333333333335,0.35714285714285715,0.6736111111111109,0.021668851725369427
tv-gVAR,stationary,160,10,0.3,0,0.27532638892277617,0.6153846153846153,0.3779644984042331,0.728798076923077,0.004671178662154099
stationary-gVAR,stationary,160,10,0.3,0,0.6666666666666667,0.4,0.5,0.76375,0.0014017767782850481
Ledoit-Wolf,stationary,160,10,0.3,0,0.1323529411764706,0.9,0.2307692307692308,0.6900000000000002,0.014845617862900933
tv-gVAR,stationary,160,10,0.3,1,0.2061391636287315,0.4461538461538461,0.2812365227401542,0.6481250000000001,0.004632056356585632
stationary-gVAR,stationary,160,10,0.3,1,0.5,0.4,0.4444444444444445,0.78625,0.0017292840875175665
Ledoit-Wolf,stationary,160,10,0.3,1,0.17999999999999997,0.9,0.29999999999999993,0.78,0.012176227179290304
tv-gVAR,stationary,160,10,0.3,2,0.15907621789974732,0.29999999999999993,0.2049301356166778,0.5841826923076923,0.0043563269115867356
stationary-gVAR,stationary,160,10,0.3,2,0.4,0.2,0.26666666666666666,0.59,0.001535330154353947
Ledoit-Wolf,stationary,160,10,0.3,2,0.125,0.9,0.21951219512195125,0.615625,0.014213329510710464
tv-gVAR,stationary,160,10,0.3,3,0.2973232467412752,0.5307692307692308,0.3633429100042561,0.7365384615384615,0.0033796945477567036
stationary-gVAR,stationary,160,10,0.3,3,0.7142857142857143,0.5,0.588235294117647,0.7812500000000001,0.0007508538048454097
Ledoit-Wolf,stationary,160,10,0.3,3,0.16666666666666669,1.0,0.28571428571428564,0.8237500000000001,0.012191056892196711
tv-gVAR,stationary,160,10,0.3,4,0.27852441279447715,0.5692307692307692,0.36970853318996555,0.7418269230769231,0.0036835968349627213
stationary-gVAR,stationary,160,10,0.3,4,1.0,0.4,0.5714285714285713,0.8387499999999999,0.0007915256491990662
Ledoit-Wolf,stationary,160,10,0.3,4,0.12162162162162166,0.9,0.2142857142857143,0.6637500000000002,0.011600381024356067
tv-gVAR,stationary,160,10,0.5,0,0.16143003039757572,0.7307692307692306,0.26430426805859164,0.7032211538461538,0.011026506617837845
stationary-gVAR,stationary,160,10,0.5,0,0.24000000000000005,0.5999999999999999,0.3428571428571429,0.7706250000000001,0.003348564678250068
Ledoit-Wolf,stationary,160,10,0.5,0,0.1323529411764706,0.9,0.2307692307692308,0.6925,0.014863902783849916
tv-gVAR,stationary,160,10,0.5,1,0.1514447423043501,0.7076923076923076,0.24934607628097327,0.6521153846153847,0.010708878810963
stationary-gVAR,stationary,160,10,0.5,1,0.2800000000000001,0.7000000000000001,0.4,0.7300000000000001,0.0028581247757443573
Ledoit-Wolf,stationary,160,10,0.5,1,0.17999999999999997,0.9,0.29999999999999993,0.78125,0.012189652762396265
tv-gVAR,stationary,160,10,0.5,2,0.13033535578976801,0.5384615384615384,0.2091850614653812,0.5704807692307692,0.010137845974826035
stationary-gVAR,stationary,160,10,0.5,2,0.2941176470588235,0.5,0.3703703703703703,0.6475,0.0030117166619251924
Ledoit-Wolf,stationary,160,10,0.5,2,0.125,0.9,0.21951219512195125,0.6137499999999999,0.014229193255444745
tv-gVAR,stationary,160,10,0.5,3,0.15854435707120726,0.7,0.25810276467315496,0.6940865384615384,0.009357957623143884
stationary-gVAR,stationary,160,10,0.5,3,0.28571428571428564,0.5999999999999999,0.3870967741935484,0.815,0.001708514385830142
Ledoit-Wolf,stationary,160,10,0.5,3,0.16666666666666669,1.0,0.28571428571428564,0.81875,0.012205037585573968
tv-gVAR,stationary,160,10,0.5,4,0.17688416534379334,0.769230769230769,0.2871154151382729,0.7575480769230769,0.009589110343175729
stationary-gVAR,stationary,160,10,0.5,4,0.28571428571428564,0.8,0.4210526315789474,0.860625,0.0019137378748029683
Ledoit-Wolf,stationary,160,10,0.5,4,0.12162162162162166,0.9,0.2142857142857143,0.6637500000000002,0.011612592867062694
tv-gVAR,stationary,320,6,0.3,0,0.6418498168498168,0.6282051282051283,0.6286764517533748,0.8063568376068376,0.0027209519213579722
stationary-gVAR,stationary,320,6,0.3,0,0.8,0.6666666666666667,0.7272727272727273,0.892361111111111,0.002195338938112259
Ledoit-Wolf,stationary,320,6,0.3,0,0.2,0.6666666666666667,0.30769230769230765,0.576388888888889,0.02187169092464872
tv-gVAR,stationary,320,6,0.3,1,0.4868131868131868,0.5897435897435896,0.5125564606333838,0.7315705128205129,0.003047030561874519
stationary-gVAR,stationary,320,6,0.3,1,1.0,0.5,0.6666666666666667,0.8194444444444445,0.0018086660000494533
Ledoit-Wolf,stationary,320,6,0.3,1,0.25,0.8333333333333335,0.38461538461538464,0.6493055555555555,0.0245210246907383
tv-gVAR,stationary,320,6,0.3,2,0.6406288156288157,0.6538461538461537,0.628141516603055,0.7970085470085471,0.0030379239077171103
stationary-gVAR,stationary,320,6,0.3,2,1.0,0.5,0.6666666666666667,0.826388888888889,0.0035291847496096568
Ledoit-Wolf,stationary,320,6,0.3,2,0.2307692307692308,1.0,0.375,0.638888888888889,0.02372700663584256
tv-gVAR,stationary,320,6,0.3,3,0.5468787622633775,0.5641025641025641,0.5307213518930595,0.7521367521367522,0.0033402042382818338
stationary-gVAR,stationary,320,6,0.3,3,1.0,0.33333333333333337,0.5,0.8194444444444445,0.003159834054550825
Ledoit-Wolf,stationary,320,6,0.3,3,0.19230769230769232,0.8333333333333335,0.3125,0.6458333333333333,0.02403931821178159
tv-gVAR,stationary,320,6,0.3,4,0.6296703296703297,0.33333333333333337,0.42471759010220556,0.7267628205128206,0.0034381197809576587
stationary-gVAR,stationary,320,6,0.3,4,1.0,0.33333333333333337,0.5,0.75,0.0031048728589276446
Ledoit-Wolf,stationary,320,6,0.3,4,0.22727272727272724,0.8333333333333335,0.35714285714285715,0.673611111111111,0.021531917563555793
tv-gVAR,stationary,320,6,0.5,0,0.3564318160472007,0.7307692307692307,0.47557767310089294,0.8015491452991452,0.004382609248783602
stationary-gVAR,stationary,320,6,0.5,0,0.625,0.8333333333333335,0.7142857142857143,0.9444444444444445,0.0016592082738321342
Ledoit-Wolf,stationary,320,6,0.5,0,0.2,0.6666666666666667,0.30769230769230765,0.576388888888889,0.021892332177078092
tv-gVAR,stationary,320,6,0.5,1,0.2777873458868934,0.6666666666666666,0.3891837164909428,0.7083333333333335,0.006436415451628242
stationary-gVAR,stationary,320,6,0.5,1,0.4,0.6666666666666667,0.5,0.875,0.002668216944162495
Ledoit-Wolf,stationary,320,6,0.5,1,0.25,0.8333333333333335,0.38461538461538464,0.65625,0.024543121080071843
tv-gVAR,stationary,320,6,0.5,2,0.36897984494138336,0.7692307692307694,0.492114003414313,0.7702991452991452,0.004773349644977496
stationary-gVAR,stationary,320,6,0.5,2,0.7142857142857143,0.8333333333333335,0.7692307692307693,0.8680555555555555,0.0016272811382352377
Ledoit-Wolf,stationary,320,6,0.5,2,0.2307692307692308,1.0,0.375,0.6527777777777778,0.023750209907634035
tv-gVAR,stationary,320,6,0.5,3,0.3155448184294338,0.6923076923076923,0.42990607030854705,0.7299679487179487,0.005741115370573451
stationary-gVAR,stationary,320,6,0.5,3,0.5555555555555555,0.8333333333333335,0.6666666666666667,0.9027777777777779,0.0019093475506414168
Ledoit-Wolf,stationary,320,6,0.5,3,0.19230769230769232,0.8333333333333335,0.3125,0.6180555555555555,0.024062622146581402
tv-gVAR,stationary,320,6,0.5,4,0.40677100677100675,0.5256410256410257,0.4505429713574509,0.6834935897435899,0.004619486012491142
stationary-gVAR,stationary,320,6,0.5,4,0.75,0.5,0.5999999999999999,0.8229166666666667,0.0019357453243422557
Ledoit-Wolf,stationary,320,6,0.5,4,0.22727272727272724,0.8333333333333335,0.35714285714285715,0.6666666666666667,0.021553025813777636
tv-gVAR,stationary,320,10,0.3,0,0.44083715429869275,0.47692307692307706,0.4524793460368184,0.7607211538461538,0.0015189769657601392
stationary-gVAR,stationary,320,10,0.3,0,1.0,0.4,0.5714285714285713,0.7374999999999999,0.0008929906261321593
Ledoit-Wolf,stationary,320,10,0.3,0,0.13793103448275865,0.8,0.23529411764705885,0.6900000000000002,0.012925229638907854
tv-gVAR,stationary,320,10,0.3,1,0.4434469125645595,0.49230769230769234,0.46057451320609216,0.7692307692307693,0.0015126166830139306
stationary-gVAR,stationary,320,10,0.3,1,0.75,0.29999999999999993,0.4285714285714286,0.7712500000000001,0.001089602804191427
Ledoit-Wolf,stationary,320,10,0.3,1,0.16071428571428575,0.9,0.27272727272727265,0.7275000000000001,0.010155982296149007
tv-gVAR,stationary,320,10,0.3,2,0.2725013736891565,0.35384615384615387,0.3032826418497955,0.688125,0.0022148900634774353
stationary-gVAR,stationary,320,10,0.3,2,0.8,0.4,0.5333333333333333,0.7787500000000002,0.0010234661619036858
Ledoit-Wolf,stationary,320,10,0.3,2,0.13793103448275865,0.8,0.23529411764705885,0.6349999999999999,0.010720472232113693
tv-gVAR,stationary,320,10,0.3,3,0.4235392561184416,0.44615384615384623,0.4268352420526333,0.7435576923076923,0.0014583361767941349
stationary-gVAR,stationary,320,10,0.3,3,1.0,0.2,0.33333333333333337,0.7424999999999998,0.0009144302687200974
Ledoit-Wolf,stationary,320,10,0.3,3,0.14516129032258068,0.9,0.25,0.79375,0.010836999635326696
tv-gVAR,stationary,320,10,0.3,4,0.4898550544478146,0.6307692307692307,0.5468248337813554,0.8346634615384614,0.0014537464191814746
stationary-gVAR,stationary,320,10,0.3,4,1.0,0.5,0.6666666666666667,0.9,0.0006077536167228731
Ledoit-Wolf,stationary,320,10,0.3,4,0.12121212121212119,0.8,0.2105263157894737,0.59,0.01301781388636991
tv-gVAR,stationary,320,10,0.5,0,0.2037950752200245,0.6384615384615385,0.30754258852661176,0.7210576923076922,0.0038752223521577376
stationary-gVAR,stationary,320,10,0.5,0,0.6363636363636365,0.7000000000000001,0.6666666666666667,0.8074999999999999,0.0010090472541400726
Ledoit-Wolf,stationary,320,10,0.5,0,0.13793103448275865,0.8,0.23529411764705885,0.6900000000000002,0.012938248486871844
tv-gVAR,stationary,320,10,0.5,1,0.2480671889103219,0.7153846153846153,0.36472621284858237,0.7809615384615383,0.003506936074883519
stationary-gVAR,stationary,320,10,0.5,1,0.5333333333333333,0.8,0.6399999999999999,0.93375,0.0008150222490384419
Ledoit-Wolf,stationary,320,10,0.5,1,0.16071428571428575,0.9,0.27272727272727265,0.73125,0.010164465480965503
tv-gVAR,stationary,320,10,0.5,2,0.17923281455647735,0.5692307692307691,0.271031933013275,0.6640384615384616,0.005291469352261927
stationary-gVAR,stationary,320,10,0.5,2,0.35294117647058826,0.5999999999999999,0.4444444444444445,0.760625,0.001294359541645762
Ledoit-Wolf,stationary,320,10,0.5,2,0.13793103448275865,0.8,0.23529411764705885,0.6325000000000002,0.010728948628712504
tv-gVAR,stationary,320,10,0.5,3,0.19320651393153537,0.6153846153846154,0.2927483668443587,0.7111057692307694,0.0040510205664266215
stationary-gVAR,stationary,320,10,0.5,3,0.5555555555555555,0.5,0.5263157894736842,0.7999999999999999,0.000995674592038437
Ledoit-Wolf,stationary,320,10,0.5,3,0.14516129032258068,0.9,0.25,0.795,0.010847133500231821
tv-gVAR,stationary,320,10,0.5,4,0.2460900178676622,0.7692307692307693,0.37146448791362735,0.8214423076923076,0.004113062739059195
stationary-gVAR,stationary,320,10,0.5,4,0.8181818181818182,0.9,0.8571428571428572,0.9331250000000001,0.0004723244790428028
Ledoit-Wolf,stationary,320,10,0.5,4,0.12121212121212119,0.8,0.2105263157894737,0.59,0.01302956378271956
tv-gVAR,smooth,80,6,0.3,0,0.4714285714285715,0.6442307692307693,0.5373104587938347,0.760254168908015,0.011403131856242307
stationary-gVAR,smooth,80,6,0.3,0,0.7272727272727273,0.38636363636363635,0.5,0.6776462174189448,0.025307154586443305
Ledoit-Wolf,smooth,80,6,0.3,0,0.32323232323232326,0.7727272727272727,0.452638270820089,0.6510648442466626,0.03105932335695888
tv-gVAR,smooth,80,6,0.3,1,0.3310077177724236,0.5673076923076923,0.41079826606142394,0.641810112963959,0.017291914048584593
stationary-gVAR,smooth,80,6,0.3,1,0.4848484848484848,0.38636363636363635,0.4259740259740259,0.597465034965035,0.026016666054400374
Ledoit-Wolf,smooth,80,6,0.3,1,0.2727272727272727,0.6590909090909091,0.3827082008900191,0.6632231404958676,0.03894354248749813
tv-gVAR,smooth,80,6,0.3,2,0.3002324598478444,0.46153846153846156,0.3577032695810977,0.5890599784830555,0.019044733765013724
stationary-gVAR,smooth,80,6,0.3,2,0.45454545454545453,0.11363636363636363,0.18181818181818182,0.45593610934520024,0.025611573194046635
Ledoit-Wolf,smooth,80,6,0.3,2,0.15909090909090912,0.5,0.24025974025974026,0.4025746980292435,0.04105496991208064
tv-gVAR,smooth,80,6,0.3,3,0.37212365311912826,0.6153846153846154,0.45848462984530575,0.7160771920387303,0.010640446927920422
stationary-gVAR,smooth,80,6,0.3,3,0.38181818181818183,0.25,0.2999222999222999,0.6447870311506674,0.02623463949560775
Ledoit-Wolf,smooth,80,6,0.3,3,0.3057851239669422,0.8863636363636364,0.4522144522144522,0.6027495232040687,0.03745766541152513
tv-gVAR,smooth,80,6,0.3,4,0.35459976734387316,0.6730769230769231,0.4590300867223943,0.6949636901559978,0.019617833778394496
stationary-gVAR,smooth,80,6,0.3,4,0.30303030303030304,0.11363636363636363,0.1652892561983471,0.5620629370629371,0.025553568118335954
Ledoit-Wolf,smooth,80,6,0.3,4,0.14999999999999997,0.4090909090909091,0.21753246753246752,0.3606961220597583,0.036384359653771466
tv-gVAR,smooth,80,6,0.5,0,0.35002778439310944,0.8076923076923077,0.4854892116430578,0.7480836471221087,0.017032584651642806
stationary-gVAR,smooth,80,6,0.5,0,0.41558441558441556,0.38636363636363635,0.3966942148760331,0.6431977113795297,0.02808247534646738
Ledoit-Wolf,smooth,80,6,0.5,0,0.32323232323232326,0.7727272727272727,0.452638270820089,0.6407342657342657,0.031068273352956796
tv-gVAR,smooth,80,6,0.5,1,0.28768855159587425,0.75,0.4129029410909872,0.6458277299623454,0.02353973034021536
stationary-gVAR,smooth,80,6,0.5,1,0.35795454545454547,0.75,0.4818181818181818,0.6736331849968212,0.030601252084450813
Ledoit-Wolf,smooth,80,6,0.5,1,0.2727272727272727,0.6590909090909091,0.3827082008900191,0.6649713922441197,0.03896069390762191
tv-gVAR,smooth,80,6,0.5,2,0.2581783012838026,0.6153846153846154,0.35744757733657784,0.5647357450242066,0.02951735306919353
stationary-gVAR,smooth,80,6,0.5,2,0.12987012987012986,0.11363636363636363,0.1212121212121212,0.4419500953591862,0.028315196007407437
Ledoit-Wolf,smooth,80,6,0.5,2,0.15909090909090912,0.5,0.24025974025974026,0.38707883026064843,0.04107252627651609
tv-gVAR,smooth,80,6,0.5,3,0.3146245979682512,0.7980769230769231,0.44915003088080013,0.7219439214631523,0.019758661466358792
stationary-gVAR,smooth,80,6,0.5,3,0.347107438016529,0.5,0.4070175438596491,0.6845994914176731,0.030239248151749002
Ledoit-Wolf,smooth,80,6,0.5,3,0.3057851239669422,0.8863636363636364,0.4522144522144522,0.5915448188175462,0.037472617357379605
tv-gVAR,smooth,80,6,0.5,4,0.3078220539574692,0.8173076923076923,0.4450971882997805,0.6875504303388917,0.03076047331810787
stationary-gVAR,smooth,80,6,0.5,4,0.3151515151515152,0.6136363636363636,0.4143956729769087,0.5766846789574064,0.028671156091576278
Ledoit-Wolf,smooth,80,6,0.5,4,0.14999999999999997,0.4090909090909091,0.21753246753246752,0.3555308328035601,0.03639775595651731
tv-gVAR,smooth,80,10,0.3,0,0.20843647687445516,0.6057692307692308,0.3089841020270886,0.6846321218389699,0.010420865520058083
stationary-gVAR,smooth,80,10,0.3,0,0.125,0.17424242424242425,0.145021645021645,0.5585403756135464,0.00986951876243389
Ledoit-Wolf,smooth,80,10,0.3,0,0.15835777126099707,0.8484848484848485,0.26647946647946646,0.5857282960941497,0.02295215737731078
tv-gVAR,smooth,80,10,0.3,1,0.1814835044221832,0.5737179487179487,0.27469518485753047,0.6359598747614695,0.015290760837910382
stationary-gVAR,smooth,80,10,0.3,1,0.35064935064935066,0.42424242424242425,0.3827082008900191,0.6505895019614533,0.010691266958499217
Ledoit-Wolf,smooth,80,10,0.3,1,0.14545454545454542,0.75,0.2433155080213904,0.561867502416283,0.02382882023586328
