feature_path_full,domain,n_present_runs,presence_frequency,mean_rank_present,std_rank_present,mean_score_present,std_score_present
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / dash_diet,BIO,5,1.0,63.0,35.82178,0.20372911,0.009121158
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / time_restricted_eating,BIO,5,1.0,64.8,47.65459,0.20473357,0.011393746
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / elimination_diet_clinician_supervised,BIO,5,1.0,73.8,41.542267,0.19992462,0.010163997
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / portion_visual_guides,BIO,5,1.0,77.6,49.4433,0.20133081,0.009979893
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / food_log_app,BIO,5,1.0,79.2,58.328033,0.20176227,0.0038221118
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / photo_based_food_log,BIO,5,1.0,80.8,52.461033,0.20090751,0.003944597
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / slow_eating_pacing,BIO,5,1.0,89.2,55.0941,0.19921526,0.010474555
BIO / sleep_circadian_and_restoration / circadian_entrainment / activity_and_meal_cues / exercise_timing_circadian_cue,BIO,4,0.8,33.75,35.75874,0.21591142,0.017985426
BIO / sleep_circadian_and_restoration / circadian_entrainment / activity_and_meal_cues / caffeine_timing_adjustment,BIO,4,0.8,34.75,36.092762,0.21555488,0.018483263
BIO / sleep_circadian_and_restoration / circadian_entrainment / light_cues / daylight_exposure_planning,BIO,4,0.8,55.5,34.960693,0.20190345,0.010444419
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / portfolio_diet,BIO,4,0.8,69.75,34.34658,0.19980156,0.009013617
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / glycemic_control_diet,BIO,4,0.8,77.5,46.33843,0.19883534,0.008467862
BIO / nutrition_hydration_and_metabolic_health / caffeine_and_stimulant_intake_modulation / caffeine_reduction_plan,BIO,4,0.8,83.5,36.15591,0.1981213,0.014322392
BIO / nutrition_hydration_and_metabolic_health / caffeine_and_stimulant_intake_modulation / caffeine_switch_to_decaf,BIO,4,0.8,90.5,41.746258,0.19477427,0.011236461
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / grocery_environment_design,BIO,4,0.8,106.25,60.009895,0.19300197,0.008966599
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / presleep_downshift / stimulating_content_avoidance,BIO,4,0.8,110.25,34.888214,0.19110689,0.011504259
BIO / nutrition_hydration_and_metabolic_health / medical_nutrition_therapy_tools / glycemic_control_medical_diet,BIO,3,0.6,56.333332,21.171259,0.19679563,0.008335053
BIO / sleep_circadian_and_restoration / circadian_entrainment / light_cues / consistent_morning_anchor_routine,BIO,3,0.6,61.0,13.490738,0.19646569,0.011624359
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / fiber_first_meal_construction,BIO,3,0.6,62.333332,3.0912063,0.19488816,0.009840236
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / daily_and_retrospective_logs / food_diary,BIO,3,0.6,68.0,53.03458,0.19851935,0.009128724
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / daily_and_retrospective_logs / meal_timing_log,BIO,3,0.6,69.0,21.64871,0.19478309,0.009802919
BIO / nutrition_hydration_and_metabolic_health / medical_nutrition_therapy_tools / cardiac_diet_framework,BIO,3,0.6,71.666664,25.315783,0.1937387,0.007949179
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / protein_first_meal_construction,BIO,3,0.6,82.666664,14.636332,0.19144882,0.0107562225
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / night_awakenings_support / nonengagement_with_clock_checking,BIO,3,0.6,83.333336,34.198765,0.19252694,0.00994846
BIO / nutrition_hydration_and_metabolic_health / medical_nutrition_therapy_tools / texture_modified_diet,BIO,3,0.6,86.0,29.631065,0.19177388,0.007884519
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / night_awakenings_support / brief_breath_reset,BIO,3,0.6,104.0,44.862755,0.18996559,0.009625395
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / cooking_class_healthy_cuisine,BIO,3,0.6,108.333336,48.678078,0.18942244,0.0048940945
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / high_fiber_diet,BIO,3,0.6,116.666664,23.113249,0.18732572,0.010488765
BIO / medical_assessment_and_physiology_testing / physiology_and_somatic_optimization_tools / metabolic_and_nutritional_pathways / medical_nutrition_therapy_plan,BIO,3,0.6,118.0,37.067505,0.19152963,0.008847329
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / budget_friendly_meal_template,BIO,3,0.6,120.0,43.228077,0.18743347,0.007990556
BIO / sleep_circadian_and_restoration / circadian_entrainment / activity_and_meal_cues / outdoor_time_anchor,BIO,3,0.6,120.0,55.160374,0.18784042,0.013537201
BIO / sleep_circadian_and_restoration / circadian_entrainment / context_shift_plans / weekend_social_shift_mitigation,BIO,3,0.6,124.666664,42.967686,0.18768366,0.013139087
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / protein_pacing_diet,BIO,3,0.6,127.333336,30.169888,0.18626763,0.011034618
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / blood_lipid_friendly_diet,BIO,3,0.6,128.33333,37.606144,0.18640327,0.009590235
BIO / nutrition_hydration_and_metabolic_health / caffeine_and_stimulant_intake_modulation / energy_drink_reduction_plan,BIO,3,0.6,132.66667,55.775345,0.18767346,0.014048352
BIO / nutrition_hydration_and_metabolic_health / meal_templates / lunch / bento_box_balanced,BIO,3,0.6,138.33333,39.41517,0.18525618,0.011586666
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / low_glycemic_diet,BIO,3,0.6,138.66667,43.858356,0.18540283,0.008999443
BIO / nutrition_hydration_and_metabolic_health / caffeine_and_stimulant_intake_modulation / caffeine_switch_to_tea,BIO,2,0.4,70.5,23.5,0.19195044,0.015285969
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / cooking_methods / no_cook_meals,BIO,2,0.4,96.5,13.5,0.18698412,0.008296743
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / meal_prep_freezer_meals,BIO,2,0.4,100.5,27.5,0.18647397,0.006399326
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / presleep_downshift / low_stimulation_evening_activities,BIO,2,0.4,102.0,14.0,0.19446199,1.0356307e-05
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / whole_foods_diet,BIO,2,0.4,107.5,7.5,0.1854865,0.009046517
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / low_added_sugar_diet,BIO,2,0.4,108.5,11.5,0.18562579,0.01128751
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / omega3_rich_diet,BIO,2,0.4,108.5,29.5,0.18629879,0.013140753
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / night_awakenings_support / warm_drink_noncaffeinated_option,BIO,2,0.4,111.5,19.5,0.18574485,0.0121351555
BIO / nutrition_hydration_and_metabolic_health / alcohol_and_other_intake_modulation / alcohol_free_social_plan,BIO,2,0.4,116.0,74.0,0.19815409,0.012480326
BIO / nutrition_hydration_and_metabolic_health / medical_nutrition_therapy_tools / renal_diet_framework,BIO,2,0.4,119.0,8.0,0.18414518,0.008998223
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / meal_prep_batch_cooking,BIO,2,0.4,122.5,0.5,0.18383142,0.009710506
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / nordic_diet,BIO,2,0.4,126.5,12.5,0.18384233,0.0107182115
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / low_fodmap_diet,BIO,2,0.4,127.0,8.0,0.18351531,0.010282025
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / mediterranean_diet,BIO,2,0.4,141.0,15.0,0.18237093,0.0108492
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / low_sodium_diet,BIO,2,0.4,141.5,21.5,0.18244252,0.011290976
BIO / cognitive_capacity_and_brain_health / neuroenergetics_and_metabolic_support / glucose_insulin_and_metabolic_control / insulin_sensitivity_optimization_framework,BIO,2,0.4,144.0,15.0,0.18211265,0.01072067
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / plant_forward_diet,BIO,2,0.4,168.0,23.0,0.17968571,0.0071201846
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / modified_atkins_diet,BIO,2,0.4,176.5,20.5,0.17923486,0.010352932
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / pantry_staples_kit,BIO,2,0.4,178.5,0.5,0.17876358,0.008642644
BIO / pharmacology_and_biomedical_treatments / medication_safety_and_personalization_tools / adherence_and_tracking / shared_decision_making_medication_review_with_clinician,BIO,2,0.4,179.5,1.5,0.17828637,0.00827156
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / vegetarian_diet,BIO,2,0.4,192.5,4.5,0.17759866,0.0081651285
BIO / sleep_circadian_and_restoration / circadian_entrainment / light_cues / late_evening_screen_reduction,BIO,1,0.2,51.0,0.0,0.20361371,0.0
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / morning_stabilization / hydration_on_waking,BIO,1,0.2,72.0,0.0,0.20221485,0.0
BIO / nutrition_hydration_and_metabolic_health / caffeine_and_stimulant_intake_modulation / caffeine_timing_adjustment,BIO,1,0.2,80.0,0.0,0.19928618,0.0
BIO / nutrition_hydration_and_metabolic_health / alcohol_and_other_intake_modulation / cessation_coaching_referral,BIO,1,0.2,86.0,0.0,0.19837807,0.0
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / portion_containers,BIO,1,0.2,112.0,0.0,0.19495073,0.0
BIO / sleep_circadian_and_restoration / circadian_entrainment / light_cues / evening_light_dimming,BIO,1,0.2,118.0,0.0,0.19113748,0.0
BIO / nutrition_hydration_and_metabolic_health / alcohol_and_other_intake_modulation / alcohol_intake_reduction_framework,BIO,1,0.2,122.0,0.0,0.19363551,0.0
BIO / nutrition_hydration_and_metabolic_health / caffeine_and_stimulant_intake_modulation / hydration_first_beverage_swap,BIO,1,0.2,125.0,0.0,0.19325314,0.0
BIO / nutrition_hydration_and_metabolic_health / alcohol_and_other_intake_modulation / nicotine_intake_reduction_framework,BIO,1,0.2,132.0,0.0,0.192448,0.0
BIO / nutrition_hydration_and_metabolic_health / alcohol_and_other_intake_modulation / cannabis_intake_reduction_framework,BIO,1,0.2,135.0,0.0,0.19192636,0.0
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / cooking_methods / fermentation_at_home,BIO,1,0.2,136.0,0.0,0.17322005,0.0
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / low_histamine_diet,BIO,1,0.2,146.0,0.0,0.19098677,0.0
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / sleep_medicine_and_circadian_care / therapy_and_device_pathways / sleep_wake_stabilization_care_plan_coordination,BIO,1,0.2,147.0,0.0,0.19089296,0.0
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / high_protein_diet,BIO,1,0.2,150.0,0.0,0.19053108,0.0
BIO / nutrition_hydration_and_metabolic_health / microbiome_interventions / prebiotics / psyllium,BIO,1,0.2,155.0,0.0,0.18960994,0.0
BIO / nutrition_hydration_and_metabolic_health / microbiome_interventions / prebiotics / gos,BIO,1,0.2,160.0,0.0,0.1891314,0.0
BIO / cognitive_capacity_and_brain_health / neuroenergetics_and_metabolic_support / ketone_and_alternative_substrate_support / modified_atkins_diet_framework,BIO,1,0.2,174.0,0.0,0.18776211,0.0
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / inbed_settling / attention_on_neutral_sensations,BIO,1,0.2,177.0,0.0,0.18768413,0.0
BIO / nutrition_hydration_and_metabolic_health / meal_templates / breakfast / overnight_oats_chia,BIO,1,0.2,184.0,0.0,0.18709868,0.0
BIO / cognitive_capacity_and_brain_health / neuroenergetics_and_metabolic_support / glucose_insulin_and_metabolic_control / continuous_glucose_monitoring_for_cognition,BIO,1,0.2,186.0,0.0,0.18703403,0.0
